time,Bid_1_Price,Bid_1_Qty,Bid_2_Price,Bid_2_Qty,Bid_3_Price,Bid_3_Qty,Bid_4_Price,Bid_4_Qty,Bid_5_Price,Bid_5_Qty,Ask_1_Price,Ask_1_Qty,Ask_2_Price,Ask_2_Qty,Ask_3_Price,Ask_3_Qty,Ask_4_Price,Ask_4_Qty,Ask_5_Price,Ask_5_Qty
9:01:07,106.55,3,106.5,6,106.45,77,106.4,60,106.35,62,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.55,3,106.5,11,106.45,77,106.4,60,106.35,62,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.55,4,106.5,11,106.45,77,106.4,60,106.35,62,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.5,11,106.45,77,106.4,60,106.35,62,106.3,429,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.5,12,106.45,77,106.4,60,106.35,62,106.3,429,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.5,12,106.45,77,106.4,60,106.35,62,106.3,430,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.5,12,106.45,57,106.4,60,106.35,62,106.3,430,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.5,12,106.45,57,106.4,60,106.35,62,106.3,450,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.5,13,106.45,57,106.4,60,106.35,62,106.3,450,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.5,14,106.45,57,106.4,60,106.35,62,106.3,450,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.5,13,106.45,57,106.4,60,106.35,62,106.3,450,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.5,14,106.45,57,106.4,60,106.35,62,106.3,450,106.6,331,106.65,1,106.7,84,106.75,305,106.8,494
9:01:07,106.5,14,106.45,57,106.4,60,106.35,62,106.3,450,106.6,332,106.65,1,106.7,83,106.75,305,106.8,494
9:01:07,106.5,14,106.45,57,106.4,60,106.35,62,106.3,449,106.6,332,106.65,1,106.7,83,106.75,305,106.8,494
9:01:08,106.5,14,106.45,57,106.4,60,106.35,62,106.3,449,106.6,331,106.65,1,106.7,83,106.75,305,106.8,494
9:01:08,106.5,13,106.45,57,106.4,60,106.35,62,106.3,449,106.6,331,106.65,1,106.7,83,106.75,305,106.8,494
